"hotel_id","city","distance","stars","rating","country","city_actual","rating_reviewcount","center1label","center2label","neighbourhood","ratingta","ratingta_count","distance_alter","accommodation_type"
33,"Amsterdam",2.7,3,3,"Netherlands","Amsterdam",900,"City centre","Montelbaanstoren","Amsterdam South",3,1953,3.1,"Hotel"
34,"Amsterdam",3.4,3,4.3,"Netherlands","Amsterdam",177,"City centre","Montelbaanstoren","Amsterdam South",4.5,732,3.6,"Hotel"
35,"Amsterdam",3.2,2.5,2.7,"Netherlands","Amsterdam",10,"City centre","Montelbaanstoren","Amsterdam South",NA,NA,3.5,"House boat"
36,"Amsterdam",4.7,2,3.9,"Netherlands","Amsterdam",94,"City centre","Montelbaanstoren","Amsterdam Southeast",3.5,100,4.4,"Hotel"
37,"Amsterdam",4.5,3.5,4.5,"Netherlands","Amsterdam",590,"City centre","Montelbaanstoren","Amsterdam Southeast",4.5,679,4.2,"Hotel"
38,"Amsterdam",4.8,3,4.3,"Netherlands","Amsterdam",777,"City centre","Montelbaanstoren","Amsterdam Southeast",4,1779,4.5,"Hotel"
39,"Amsterdam",5.2,2,3.4,"Netherlands","Amsterdam",237,"City centre","Montelbaanstoren","Amsterdam Southeast",3.5,634,4.9,"Hostel"
40,"Amsterdam",4.9,4,4.3,"Netherlands","Amsterdam",164,"City centre","Montelbaanstoren","Amsterdam Southeast",4,390,4.6,"Hotel"
41,"Amsterdam",4.8,4,4.3,"Netherlands","Amsterdam",176,"City centre","Montelbaanstoren","Amsterdam Southeast",4,325,4.5,"Hotel"
42,"Amsterdam",4.9,3,4.1,"Netherlands","Amsterdam",553,"City centre","Montelbaanstoren","Amsterdam Southeast",4,829,4.6,"Hotel"
43,"Amsterdam",5.3,3,3.5,"Netherlands","Amsterdam",34,"City centre","Montelbaanstoren","Amsterdam Southeast",3,14,5,"Hotel"
44,"Amsterdam",5.3,3.5,4,"Netherlands","Amsterdam",13,"City centre","Montelbaanstoren","Amsterdam Southeast",4,25,5,"Hotel"
45,"Amsterdam",5.2,4,3.7,"Netherlands","Amsterdam",366,"City centre","Montelbaanstoren","Amsterdam Southeast",3.5,554,4.9,"Hotel"
46,"Amsterdam",5.8,3,3.5,"Netherlands","Amsterdam",150,"City centre","Montelbaanstoren","Amsterdam Southeast",3.5,359,5.4,"Hotel"
47,"Amsterdam",5.9,4,3.7,"Netherlands","Amsterdam",144,"City centre","Montelbaanstoren","Amsterdam Southeast",3.5,769,5.4,"Hotel"
48,"Amsterdam",6,4,4,"Netherlands","Amsterdam",445,"City centre","Montelbaanstoren","Amsterdam Southeast",4,1020,5.7,"Hotel"
49,"Amsterdam",0.8,2,3.2,"Netherlands","Amsterdam",13,"City centre","Montelbaanstoren","Amsterdam West",3.5,411,1.3,"Hotel"
50,"Amsterdam",2.6,3.5,4.5,"Netherlands","Amsterdam",382,"City centre","Montelbaanstoren","Amsterdam West",4.5,487,3.2,"Hotel"
51,"Amsterdam",1.2,4,4.5,"Netherlands","Amsterdam",464,"City centre","Montelbaanstoren","Amsterdam West",4.5,886,1.7,"Hotel"
52,"Amsterdam",1.1,2.5,4.5,"Netherlands","Amsterdam",125,"City centre","Montelbaanstoren","Amsterdam West",4.5,328,1.7,"Hotel"
53,"Amsterdam",2.4,1,4,"Netherlands","Amsterdam",58,"City centre","Montelbaanstoren","Amsterdam West",4,54,2.9,"Hostel"
54,"Amsterdam",1.1,3,4.1,"Netherlands","Amsterdam",115,"City centre","Montelbaanstoren","Amsterdam West",4.5,426,1.7,"Hotel"
55,"Amsterdam",1,2,4.3,"Netherlands","Amsterdam",110,"City centre","Montelbaanstoren","Amsterdam West",4,513,1.5,"Hotel"
56,"Amsterdam",1,4,3.2,"Netherlands","Amsterdam",24,"City centre","Montelbaanstoren","Amsterdam West",3.5,15,1.4,"Apartment"
57,"Amsterdam",1,4,3.9,"Netherlands","Amsterdam",635,"City centre","Montelbaanstoren","Amsterdam West",4,1287,1.4,"Hotel"
58,"Amsterdam",1,3,3.7,"Netherlands","Amsterdam",117,"City centre","Montelbaanstoren","Amsterdam West",3.5,833,1.4,"Hotel"
59,"Amsterdam",1,3.5,4,"Netherlands","Amsterdam",183,"City centre","Montelbaanstoren","Amsterdam West",4,340,1.4,"Hotel"
60,"Amsterdam",5.2,3,3.5,"Netherlands","Amsterdam",13,"City centre","Montelbaanstoren","Amsterdam West",3.5,10,5.7,"Hotel"
61,"Amsterdam",2.6,3,4.1,"Netherlands","Amsterdam",625,"City centre","Montelbaanstoren","Amsterdam West",4,879,3.2,"Hotel"
62,"Amsterdam",2.3,4,4.5,"Netherlands","Amsterdam",1487,"City centre","Montelbaanstoren","Amsterdam West",4.5,4099,2.8,"Hotel"
63,"Amsterdam",2.3,3,3.5,"Netherlands","Amsterdam",358,"City centre","Montelbaanstoren","Amsterdam West",3.5,337,2.8,"Hotel"
64,"Amsterdam",1.4,2.5,4.5,"Netherlands","Amsterdam",55,"City centre","Montelbaanstoren","Amsterdam West",4,21,1.9,"Hotel"
65,"Amsterdam",2.4,3,3.9,"Netherlands","Amsterdam",929,"City centre","Montelbaanstoren","Amsterdam West",4,1439,3,"Hotel"
66,"Amsterdam",3.6,4,4,"Netherlands","Amsterdam",565,"City centre","Montelbaanstoren","Amsterdam West",4,1503,4,"Hotel"
67,"Amsterdam",0.9,3,2,"Netherlands","Amsterdam",1,"City centre","Montelbaanstoren","Amsterdam West",4,19,1.4,"Apartment"
68,"Amsterdam",2.4,4,NA,"Netherlands","Amsterdam",NA,"City centre","Montelbaanstoren","Amsterdam West",3.5,3,3,"Hotel"
69,"Amsterdam",2,4,3.9,"Netherlands","Amsterdam",8,"City centre","Montelbaanstoren","Amsterdam West",3.5,1861,2.6,"Hotel"
70,"Amsterdam",2.1,4,4.3,"Netherlands","Amsterdam",416,"City centre","Montelbaanstoren","Amsterdam West",4.5,3958,2.6,"Hotel"
71,"Amsterdam",2.6,4,4.1,"Netherlands","Amsterdam",377,"City centre","Montelbaanstoren","Amsterdam West",4,958,3.2,"Hotel"
72,"Amsterdam",2.7,3,4.3,"Netherlands","Amsterdam",210,"City centre","Montelbaanstoren","Amsterdam West",4.5,560,3.2,"Apart-hotel"
73,"Amsterdam",0.8,3,3.7,"Netherlands","Amsterdam",175,"City centre","Montelbaanstoren","Amsterdam West",3.5,355,1.2,"Hotel"
74,"Amsterdam",2.6,2,4,"Netherlands","Amsterdam",798,"City centre","Montelbaanstoren","Amsterdam West",4,1949,3.2,"Hostel"
75,"Amsterdam",3.9,3,4,"Netherlands","Amsterdam",297,"City centre","Montelbaanstoren","Amsterdam West",4,218,4.4,"Hotel"
76,"Amsterdam",4,4,4,"Netherlands","Amsterdam",266,"City centre","Montelbaanstoren","Amsterdam West",3.5,1084,4.4,"Hotel"
77,"Amsterdam",1.4,3,4,"Netherlands","Amsterdam",200,"City centre","Montelbaanstoren","Amsterdam West",4,337,2,"Inn"
78,"Amsterdam",4.2,3,3.7,"Netherlands","Amsterdam",632,"City centre","Montelbaanstoren","Amsterdam West",3.5,1091,4.7,"Hotel"
79,"Amsterdam",3.1,2,2.9,"Netherlands","Amsterdam",123,"City centre","Montelbaanstoren","Amsterdam West",2.5,640,3.6,"Hostel"
80,"Amsterdam",3,4,2.4,"Netherlands","Amsterdam",5,"City centre","Montelbaanstoren","Amsterdam West",3.5,2001,3.6,"Hotel"
81,"Amsterdam",1.7,3,4.4,"Netherlands","Amsterdam",568,"City centre","Montelbaanstoren","Amsterdam West",4.5,2752,2.1,"Hotel"
82,"Amsterdam",1.7,4,4.4,"Netherlands","Amsterdam",403,"City centre","Montelbaanstoren","Amsterdam West",4.5,2753,2.1,"Hotel"
83,"Amsterdam",2.1,4,4.3,"Netherlands","Amsterdam",960,"City centre","Montelbaanstoren","Amsterdam West",4,3182,2.6,"Hotel"
84,"Amsterdam",2.4,3,4.5,"Netherlands","Amsterdam",463,"City centre","Montelbaanstoren","Amsterdam West",4.5,687,3,"Hotel"
85,"Amsterdam",2.2,3,4,"Netherlands","Amsterdam",227,"City centre","Montelbaanstoren","Amsterdam West",4,1576,2.7,"Hotel"
86,"Amsterdam",0.8,3,3.5,"Netherlands","Amsterdam",376,"City centre","Montelbaanstoren","Amsterdam West",3.5,411,1.3,"Hotel"
87,"Amsterdam",0.8,3,3.9,"Netherlands","Amsterdam",203,"City centre","Montelbaanstoren","Amsterdam West",4,321,1.3,"Hotel"
88,"Amsterdam",0.8,3,4,"Netherlands","Amsterdam",516,"City centre","Montelbaanstoren","Amsterdam West",3,270,1.3,"Hotel"
89,"Amsterdam",0.9,3,4,"Netherlands","Amsterdam",23,"City centre","Montelbaanstoren","Amsterdam West",NA,NA,1.4,"Apartment"
90,"Amsterdam",2.9,4,3.5,"Netherlands","Amsterdam",2,"City centre","Montelbaanstoren","Amsterdam West",NA,NA,3.4,"Apartment"
91,"Amsterdam",1.8,3,4.5,"Netherlands","Amsterdam",11,"City centre","Montelbaanstoren","Amsterdam West",NA,NA,2.4,"Apartment"
92,"Amsterdam",4.7,3.5,NA,"Netherlands","Amsterdam",NA,"City centre","Montelbaanstoren","Amsterdam West",NA,NA,5.1,"Apartment"
93,"Amsterdam",1.6,3.5,3.5,"Netherlands","Amsterdam",145,"City centre","Montelbaanstoren","Amsterdam West",3.5,72,2.2,"Hotel"
94,"Amsterdam",2.2,2,3.7,"Netherlands","Amsterdam",295,"City centre","Montelbaanstoren","Amsterdam West",3.5,508,2.7,"Hostel"
95,"Amsterdam",2.6,3,4.1,"Netherlands","Amsterdam",469,"City centre","Montelbaanstoren","Amsterdam West",4,1538,3.1,"Hotel"
96,"Amsterdam",5.3,3,3.9,"Netherlands","Badhoevedorp",1415,"City centre","Montelbaanstoren","Badhoevedorp",4,3684,5.7,"Hotel"
97,"Amsterdam",5.3,3,3.5,"Netherlands","Badhoevedorp",958,"City centre","Montelbaanstoren","Badhoevedorp",3.5,2237,5.7,"Hotel"
98,"Amsterdam",5.7,3,4,"Netherlands","Badhoevedorp",232,"City centre","Montelbaanstoren","Badhoevedorp",4,323,6.1,"Hotel"
99,"Amsterdam",5.8,4,4,"Netherlands","Badhoevedorp",709,"City centre","Montelbaanstoren","Badhoevedorp",4,944,6.2,"Hotel"
100,"Amsterdam",0.9,2,3.5,"Netherlands","Amsterdam",84,"City centre","Montelbaanstoren","Canal Ring",3.5,223,0.8,"Hotel"
101,"Amsterdam",0.5,3,3.9,"Netherlands","Amsterdam",38,"City centre","Montelbaanstoren","Canal Ring",4,363,0.5,"Hotel"
102,"Amsterdam",0.9,3,4.1,"Netherlands","Amsterdam",90,"City centre","Montelbaanstoren","Canal Ring",4,1048,0.7,"Hotel"
103,"Amsterdam",0.5,3,3.5,"Netherlands","Amsterdam",791,"City centre","Montelbaanstoren","Canal Ring",3.5,2892,0.5,"Hotel"
104,"Amsterdam",0.4,2,3.2,"Netherlands","Amsterdam",93,"City centre","Montelbaanstoren","Canal Ring",2.5,212,0.5,"Hotel"
105,"Amsterdam",0.5,4,3.7,"Netherlands","Amsterdam",438,"City centre","Montelbaanstoren","Canal Ring",3.5,1820,0.5,"Hotel"
106,"Amsterdam",0.6,3,2.9,"Netherlands","Amsterdam",160,"City centre","Montelbaanstoren","Canal Ring",3,367,1.1,"Hotel"
107,"Amsterdam",0.4,4,4.3,"Netherlands","Amsterdam",59,"City centre","Montelbaanstoren","Canal Ring",4.5,110,1,"Guest House"
108,"Amsterdam",0.3,3,4.8,"Netherlands","Amsterdam",29,"City centre","Montelbaanstoren","Canal Ring",5,119,0.8,"Guest House"
109,"Amsterdam",0.2,4,4.8,"Netherlands","Amsterdam",431,"City centre","Montelbaanstoren","Canal Ring",4.5,1233,0.8,"Hotel"
110,"Amsterdam",0.2,2,4.1,"Netherlands","Amsterdam",143,"City centre","Montelbaanstoren","Canal Ring",4,288,0.8,"Hotel"
111,"Amsterdam",0.3,4,4.8,"Netherlands","Amsterdam",280,"City centre","Montelbaanstoren","Canal Ring",5,1140,0.8,"Hotel"
112,"Amsterdam",0.5,4,4.8,"Netherlands","Amsterdam",552,"City centre","Montelbaanstoren","Canal Ring",4.5,2794,0.7,"Hotel"
113,"Amsterdam",0.6,5,4.9,"Netherlands","Amsterdam",150,"City centre","Montelbaanstoren","Canal Ring",5,1363,0.6,"Hotel"
114,"Amsterdam",1,3,3.5,"Netherlands","Amsterdam",33,"City centre","Montelbaanstoren","Canal Ring",3.5,83,1,"Apartment"
115,"Amsterdam",0.3,4,4.6,"Netherlands","Amsterdam",190,"City centre","Montelbaanstoren","Canal Ring",4.5,681,0.9,"Hotel"
116,"Amsterdam",0.3,4,4.9,"Netherlands","Amsterdam",373,"City centre","Montelbaanstoren","Canal Ring",5,2640,0.9,"Hotel"
117,"Amsterdam",0.4,4,4,"Netherlands","Amsterdam",189,"City centre","Montelbaanstoren","Canal Ring",4,226,0.9,"Hotel"
118,"Amsterdam",0.4,5,4.8,"Netherlands","Amsterdam",116,"City centre","Montelbaanstoren","Canal Ring",4.5,619,0.9,"Hotel"
119,"Amsterdam",0.7,2.5,3.7,"Netherlands","Amsterdam",113,"City centre","Montelbaanstoren","Canal Ring",2.5,277,0.6,"Hotel"
120,"Amsterdam",0.6,2,3,"Netherlands","Amsterdam",100,"City centre","Montelbaanstoren","Canal Ring",3,295,1,"Hotel"
121,"Amsterdam",0.6,2,3,"Netherlands","Amsterdam",251,"City centre","Montelbaanstoren","Canal Ring",3.5,376,1,"Hotel"
122,"Amsterdam",0.6,2.5,3,"Netherlands","Amsterdam",275,"City centre","Montelbaanstoren","Canal Ring",3,563,1,"Hotel"
123,"Amsterdam",0.4,3,3.5,"Netherlands","Amsterdam",121,"City centre","Montelbaanstoren","Canal Ring",3,342,0.5,"Hotel"
124,"Amsterdam",0.7,1,2.7,"Netherlands","Amsterdam",30,"City centre","Montelbaanstoren","Canal Ring",3,216,1.1,"Hostel"
125,"Amsterdam",1,3,4,"Netherlands","Amsterdam",104,"City centre","Montelbaanstoren","Canal Ring",4,404,1,"Hotel"
126,"Amsterdam",0.4,5,4.6,"Netherlands","Amsterdam",234,"City centre","Montelbaanstoren","Canal Ring",4.5,1556,0.6,"Hotel"
127,"Amsterdam",0.4,5,4.5,"Netherlands","Amsterdam",54,"City centre","Montelbaanstoren","Canal Ring",4.5,496,0.5,"Hotel"
128,"Amsterdam",0.7,2,3.2,"Netherlands","Amsterdam",90,"City centre","Montelbaanstoren","Canal Ring",3.5,485,0.5,"Hotel"
129,"Amsterdam",0.8,4,4,"Netherlands","Amsterdam",369,"City centre","Montelbaanstoren","Canal Ring",4,580,0.9,"Hotel"
130,"Amsterdam",1,3,4,"Netherlands","Amsterdam",159,"City centre","Montelbaanstoren","Canal Ring",4,232,0.9,"Hotel"
131,"Amsterdam",0.8,3,3.7,"Netherlands","Amsterdam",179,"City centre","Montelbaanstoren","Canal Ring",3.5,454,0.8,"Hotel"
132,"Amsterdam",0.8,2,3.2,"Netherlands","Amsterdam",317,"City centre","Montelbaanstoren","Canal Ring",3,595,0.7,"Hotel"
133,"Amsterdam",0.4,5,4.8,"Netherlands","Amsterdam",271,"City centre","Montelbaanstoren","Canal Ring",4.5,804,1,"Hotel"
134,"Amsterdam",0.5,2,4,"Netherlands","Amsterdam",114,"City centre","Montelbaanstoren","Canal Ring",4,883,1,"Hotel"
135,"Amsterdam",0.7,4,4.3,"Netherlands","Amsterdam",461,"City centre","Montelbaanstoren","Canal Ring",4,880,1,"Hotel"
136,"Amsterdam",0.7,2,3.5,"Netherlands","Amsterdam",93,"City centre","Montelbaanstoren","Canal Ring",3,726,1,"Hotel"
137,"Amsterdam",0.5,5,4.8,"Netherlands","Amsterdam",180,"City centre","Montelbaanstoren","Canal Ring",4.5,1994,1,"Hotel"
138,"Amsterdam",0.6,5,4.3,"Netherlands","Amsterdam",11,"City centre","Montelbaanstoren","Canal Ring",4.5,449,1,"Hotel"
139,"Amsterdam",0.8,1,2.9,"Netherlands","Amsterdam",19,"City centre","Montelbaanstoren","Canal Ring",2.5,44,0.7,"Hotel"
140,"Amsterdam",1.1,5,4.5,"Netherlands","Amsterdam",39,"City centre","Montelbaanstoren","Canal Ring",4.5,996,0.8,"Hotel"
141,"Amsterdam",0.2,2,2.7,"Netherlands","Amsterdam",183,"City centre","Montelbaanstoren","Canal Ring",3,681,0.8,"Hotel"
142,"Amsterdam",0.3,2.5,3,"Netherlands","Amsterdam",20,"City centre","Montelbaanstoren","Canal Ring",3.5,123,0.8,"Hotel"
143,"Amsterdam",0.3,2.5,3,"Netherlands","Amsterdam",193,"City centre","Montelbaanstoren","Canal Ring",2.5,173,0.8,"Hotel"
144,"Amsterdam",0.3,2,4.5,"Netherlands","Amsterdam",225,"City centre","Montelbaanstoren","Canal Ring",4.5,1046,0.8,"Hotel"
145,"Amsterdam",0.3,2,3.5,"Netherlands","Amsterdam",225,"City centre","Montelbaanstoren","Canal Ring",4,4019,0.9,"Hotel"
146,"Amsterdam",0.5,4,3.9,"Netherlands","Amsterdam",252,"City centre","Montelbaanstoren","Canal Ring",4,995,0.5,"Hotel"
147,"Amsterdam",0.5,1,3.5,"Netherlands","Amsterdam",112,"City centre","Montelbaanstoren","Canal Ring",3.5,298,0.6,"Hotel"
148,"Amsterdam",0.5,4,3.7,"Netherlands","Amsterdam",265,"City centre","Montelbaanstoren","Canal Ring",4,1609,0.6,"Hotel"
149,"Amsterdam",0.5,4,3.5,"Netherlands","Amsterdam",260,"City centre","Montelbaanstoren","Canal Ring",3.5,232,0.6,"Hotel"
150,"Amsterdam",0.5,2,3,"Netherlands","Amsterdam",227,"City centre","Montelbaanstoren","Canal Ring",3,485,0.6,"Hotel"
151,"Amsterdam",0.3,2,2.2,"Netherlands","Amsterdam",94,"City centre","Montelbaanstoren","Canal Ring",2.5,276,0.6,"Hotel"
152,"Amsterdam",0.3,2,3.5,"Netherlands","Amsterdam",97,"City centre","Montelbaanstoren","Canal Ring",3.5,180,0.6,"Hotel"
153,"Amsterdam",1.1,3,4.3,"Netherlands","Amsterdam",50,"City centre","Montelbaanstoren","Canal Ring",4.5,110,0.9,"Guest House"
154,"Amsterdam",1.1,2,3.5,"Netherlands","Amsterdam",48,"City centre","Montelbaanstoren","Canal Ring",3.5,749,0.9,"Hotel"
155,"Amsterdam",0.2,4,4.6,"Netherlands","Amsterdam",523,"City centre","Montelbaanstoren","Canal Ring",4.5,3988,0.7,"Hotel"
156,"Amsterdam",0.4,4,4.4,"Netherlands","Amsterdam",8,"City centre","Montelbaanstoren","Canal Ring",4.5,109,0.8,"Apartment"
157,"Amsterdam",0.4,2,2.5,"Netherlands","Amsterdam",34,"City centre","Montelbaanstoren","Canal Ring",2.5,205,0.8,"Hotel"
158,"Amsterdam",0.4,2,2.9,"Netherlands","Amsterdam",116,"City centre","Montelbaanstoren","Canal Ring",3,317,0.8,"Hotel"
159,"Amsterdam",0.3,4,4,"Netherlands","Amsterdam",526,"City centre","Montelbaanstoren","Canal Ring",4,1056,0.7,"Hotel"
160,"Amsterdam",0.6,2.5,3.5,"Netherlands","Amsterdam",38,"City centre","Montelbaanstoren","Canal Ring",4,308,0.6,"Hotel"
161,"Amsterdam",0.5,2,3.7,"Netherlands","Amsterdam",41,"City centre","Montelbaanstoren","Canal Ring",4,268,0.6,"Hotel"
162,"Amsterdam",0.5,4,4.3,"Netherlands","Amsterdam",28,"City centre","Montelbaanstoren","Canal Ring",NA,NA,0.7,"Apartment"
163,"Amsterdam",0.4,4,4.8,"Netherlands","Amsterdam",8,"City centre","Montelbaanstoren","Canal Ring",NA,NA,0.9,"Apartment"
164,"Amsterdam",0.4,3,4.4,"Netherlands","Amsterdam",7,"City centre","Montelbaanstoren","Canal Ring",NA,NA,0.9,"Apartment"
165,"Amsterdam",0.7,3,4,"Netherlands","Amsterdam",5,"City centre","Montelbaanstoren","Canal Ring",NA,NA,0.9,"Apartment"
166,"Amsterdam",0.3,3,3.2,"Netherlands","Amsterdam",4,"City centre","Montelbaanstoren","Canal Ring",NA,NA,0.6,"Apartment"
167,"Amsterdam",0.5,4,3.5,"Netherlands","Amsterdam",493,"City centre","Montelbaanstoren","Canal Ring",3.5,2523,0.7,"Hotel"
168,"Amsterdam",0.5,4,4,"Netherlands","Amsterdam",353,"City centre","Montelbaanstoren","Canal Ring",4.5,114,0.7,"Hotel"
169,"Amsterdam",0.6,3,3.9,"Netherlands","Amsterdam",98,"City centre","Montelbaanstoren","Canal Ring",4,152,0.8,"Hotel"
170,"Amsterdam",0.9,4,4.8,"Netherlands","Amsterdam",95,"City centre","Montelbaanstoren","Canal Ring",4.5,371,0.6,"Hotel"
171,"Amsterdam",1.1,4,4.3,"Netherlands","Amsterdam",407,"City centre","Montelbaanstoren","Canal Ring",4.5,1003,1,"Hotel"
172,"Amsterdam",1,3,4,"Netherlands","Amsterdam",326,"City centre","Montelbaanstoren","Canal Ring",4,1216,0.9,"Hotel"
173,"Amsterdam",1,4,4.4,"Netherlands","Amsterdam",20,"City centre","Montelbaanstoren","Canal Ring",4.5,486,1,"Hotel"
174,"Amsterdam",1,4,4.3,"Netherlands","Amsterdam",182,"City centre","Montelbaanstoren","Canal Ring",4.5,486,1,"Hotel"
175,"Amsterdam",0.2,3,3.4,"Netherlands","Amsterdam",10,"City centre","Montelbaanstoren","Dam Square - Central Station",3,1640,0.4,"Hotel"
176,"Amsterdam",0.2,1,2.5,"Netherlands","Amsterdam",75,"City centre","Montelbaanstoren","Dam Square - Central Station",2.5,338,0.4,"Hotel"
177,"Amsterdam",0.2,1.5,2.7,"Netherlands","Amsterdam",72,"City centre","Montelbaanstoren","Dam Square - Central Station",2.5,642,0.4,"Hostel"
178,"Amsterdam",0.1,5,4.3,"Netherlands","Amsterdam",180,"City centre","Montelbaanstoren","Dam Square - Central Station",4,1699,0.5,"Hotel"
179,"Amsterdam",0.1,4,4,"Netherlands","Amsterdam",454,"City centre","Montelbaanstoren","Dam Square - Central Station",4,981,0.5,"Hotel"
180,"Amsterdam",0.1,4,4.3,"Netherlands","Amsterdam",619,"City centre","Montelbaanstoren","Dam Square - Central Station",4.5,683,0.5,"Hotel"
181,"Amsterdam",0.1,2,3.5,"Netherlands","Amsterdam",158,"City centre","Montelbaanstoren","Dam Square - Central Station",3.5,485,0.5,"Hotel"
182,"Amsterdam",0.1,3.5,3.4,"Netherlands","Amsterdam",54,"City centre","Montelbaanstoren","Dam Square - Central Station",3.5,811,0.5,"Hotel"
183,"Amsterdam",0.1,3,3.9,"Netherlands","Amsterdam",374,"City centre","Montelbaanstoren","Dam Square - Central Station",4,844,0.6,"Hotel"
184,"Amsterdam",0.4,3,4.5,"Netherlands","Amsterdam",10,"City centre","Montelbaanstoren","Dam Square - Central Station",4,14,0.4,"Bed and breakfast"
